order_id,customer_id,order_date,product_category,product_name,quantity,unit_price,discount_percent,subtotal,shipping_cost,shipping_method,tax_amount,total_amount,payment_method,order_status,delivery_days,review_score,is_gift
30357226,102475,2024-12-12,Home & Kitchen,Throw Pillow,4,81.55,0.0,326.2,0.0,Standard,20.39,346.59,PayPal,Delivered,5.0,3.0,False
65431680,643853,2025-05-19,Electronics,Smartphone Case,1,152.09,0.0,152.09,0.0,Standard,8.75,160.84,Credit Card,Delivered,4.0,,False
24093785,544582,2025-01-03,Sports & Outdoors,Bicycle Helmet,2,62.46,0.0,124.92,0.0,Standard,10.31,135.23,Debit Card,Shipped,,,False
24264091,568666,2024-08-09,Clothing,Men's T-Shirt,5,115.67,0.0,578.35,0.0,Standard,23.13,601.48,Debit Card,Processing,,,False
83168534,357070,2024-04-20,Beauty,Hair Dryer,2,99.14,5.0,188.37,0.0,Standard,16.72,205.09,Credit Card,Delivered,6.0,4.0,False
10056341,912674,2025-11-25,Electronics,USB-C Hub,4,283.18,5.0,1076.08,0.0,Standard,64.56,1140.64,Credit Card,Delivered,4.0,5.0,False
45017312,579703,2024-10-08,Sports & Outdoors,Fishing Rod,1,200.96,0.0,200.96,0.0,Standard,12.06,213.02,Credit Card,Delivered,6.0,,False
91670165,923809,2024-12-23,Beauty,Shampoo & Conditioner Set,1,6.33,10.0,5.7,5.99,Standard,0.34,12.03,Credit Card,Delivered,7.0,,False
95158617,959182,2025-03-15,Sports & Outdoors,Fishing Rod,1,276.98,0.0,276.98,0.0,Standard,17.31,294.29,PayPal,Delivered,5.0,,False
17130881,409624,2024-12-24,Sports & Outdoors,Dumbbell Set,2,87.97,0.0,175.94,0.0,Standard,10.56,186.5,Debit Card,Cancelled,,,False
67466765,983557,2025-09-24,Clothing,Wool Sweater,1,82.39,5.0,78.27,0.0,Express,4.7,82.97,Apple Pay,Delivered,2.0,,False
10555841,142263,2025-09-08,Sports & Outdoors,Dumbbell Set,4,351.99,0.0,1407.96,0.0,Express,116.16,1524.12,PayPal,Processing,,,True
41766037,150447,2025-05-31,Electronics,Smartphone Case,2,161.49,0.0,322.98,0.0,Standard,18.09,341.07,Debit Card,Delivered,8.0,3.0,False
19637627,693875,2025-09-08,Electronics,Laptop Stand,1,168.58,5.0,160.15,0.0,,13.21,173.36,Debit Card,Delivered,7.0,,False
22130140,454208,2024-09-21,Beauty,Hair Dryer,4,45.95,0.0,183.8,0.0,Standard,15.16,198.96,Credit Card,Delivered,5.0,,False
53185210,567751,2024-01-22,Home & Kitchen,Storage Bins,1,93.83,0.0,93.83,0.0,Next-Day,5.25,99.08,Debit Card,Delivered,1.0,2.0,False
74669409,199805,2025-04-06,Electronics,Smartphone Case,2,119.35,15.0,202.89,0.0,Standard,11.67,214.56,Credit Card,Shipped,,,False
86171887,997877,2025-06-29,Sports & Outdoors,Hiking Backpack,1,53.97,0.0,53.97,5.99,Standard,3.51,63.47,Credit Card,Delivered,6.0,,False
62889817,540073,2024-03-15,Electronics,Bluetooth Speaker,1,114.42,0.0,114.42,0.0,Express,4.58,119.0,Credit Card,Delivered,3.0,,False
83510181,621129,2025-06-07,Beauty,Perfume,1,26.47,0.0,26.47,5.99,Standard,1.26,33.72,Debit Card,Delivered,5.0,,False
24645840,262277,2024-07-13,Home & Kitchen,Table Lamp,3,133.7,0.0,401.1,0.0,Express,26.07,427.17,Credit Card,Delivered,3.0,3.0,False
83171472,728511,2025-12-16,Toys,Plush Toy,1,34.14,20.0,27.31,5.99,Standard,1.09,34.39,Credit Card,Delivered,6.0,,False
84226255,106146,2025-09-04,Home & Kitchen,Air Fryer,1,233.3,0.0,233.3,0.0,Standard,14.58,247.88,Credit Card,Processing,,,False
27265155,266813,2024-09-03,Books,Mystery Thriller,2,28.91,0.0,57.82,5.99,Standard,2.75,66.56,PayPal,Delivered,5.0,,False
44726457,112765,2024-05-10,Books,Fiction Novel,1,11.89,0.0,11.89,12.99,Express,1.06,25.94,Credit Card,Delivered,4.0,,False
55765381,865307,2025-12-15,Grocery,Vitamin Supplements,1,26.54,0.0,26.54,5.99,Standard,1.49,34.02,Credit Card,Returned,5.0,,True
97142287,620065,2024-08-13,Clothing,Hoodie,1,109.2,0.0,109.2,0.0,Standard,6.55,115.75,Debit Card,Delivered,7.0,4.0,False
89452270,424543,2024-11-23,Clothing,Yoga Leggings,1,132.27,,112.43,0.0,Express,5.34,117.77,Debit Card,Shipped,,,False
90256069,860481,2025-12-26,Home & Kitchen,Bed Sheets Set,3,221.89,0.0,665.67,0.0,Express,43.27,708.94,Apple Pay,Delivered,1.0,,False
48021871,789354,2024-05-17,Clothing,Denim Jacket,1,96.71,0.0,96.71,0.0,Standard,4.59,101.3,Credit Card,Delivered,5.0,,False
31809009,657736,2024-04-07,Electronics,Bluetooth Speaker,1,285.76,0.0,285.76,0.0,Next-Day,17.15,302.91,Credit Card,Cancelled,,,False
74491295,276171,2024-02-02,Toys,Plush Toy,1,32.1,0.0,32.1,5.99,Standard,1.93,40.02,Debit Card,Delivered,6.0,4.0,False
93217882,686314,2024-05-31,Clothing,Running Shoes,1,171.0,20.0,136.8,0.0,Standard,11.29,148.09,Credit Card,Delivered,5.0,,False
20613043,492493,2024-09-05,Toys,Building Block Set,1,30.49,0.0,30.49,5.99,Standard,1.91,38.39,Credit Card,Returned,3.0,,False
64262449,812713,2025-11-27,Electronics,USB-C Hub,1,99.18,0.0,99.18,0.0,Standard,3.97,103.15,Credit Card,Delivered,5.0,,True
28328300,867788,2025-12-21,Home & Kitchen,Coffee Maker,2,48.87,0.0,97.74,0.0,Express,2.83,100.57,Credit Card,Returned,3.0,,False
12388670,438441,2024-04-17,Electronics,USB-C Hub,3,347.43,15.0,885.95,0.0,Standard,55.37,941.32,Credit Card,Delivered,7.0,4.0,False
91960043,827794,2025-06-26,Clothing,Winter Jacket,1,60.31,0.0,60.31,5.99,Standard,3.77,70.07,PayPal,Delivered,5.0,3.0,False
90302535,525017,2025-12-07,Toys,Action Figure,5,47.18,0.0,235.9,0.0,Express,19.46,255.36,PayPal,Delivered,2.0,4.0,False
79317848,266813,2025-05-20,Clothing,Men's T-Shirt,1,62.4,0.0,62.4,12.99,Express,2.96,78.35,PayPal,Delivered,1.0,4.0,False
33156725,342503,2024-06-30,Grocery,Green Tea (Box),2,26.66,0.0,53.32,5.99,Standard,2.53,61.84,PayPal,Delivered,8.0,,False
51645955,113123,2024-12-10,Beauty,Hair Dryer,1,88.63,0.0,88.63,0.0,Standard,5.1,93.73,Credit Card,Delivered,5.0,,False
54459113,142347,2025-12-17,Beauty,Lipstick,2,101.11,0.0,202.22,0.0,Standard,16.68,218.9,PayPal,Delivered,7.0,,False
50542055,632607,2024-02-27,Beauty,Hair Dryer,2,98.75,0.0,197.5,0.0,Standard,17.53,215.03,Debit Card,Delivered,6.0,,False
53516338,151519,2024-10-04,Electronics,Gaming Mouse,4,227.1,0.0,908.4,0.0,Standard,54.5,962.9,PayPal,Delivered,7.0,4.0,False
16842841,520198,2024-11-12,Clothing,Socks (3-pack),2,41.28,0.0,82.56,0.0,Standard,4.62,87.18,Credit Card,Delivered,5.0,3.0,False
23099782,304408,2025-07-08,Clothing,Men's T-Shirt,1,105.12,0.0,105.12,0.0,Standard,8.67,113.79,Credit Card,Delivered,5.0,,False
91493414,360610,2025-02-07,Beauty,Shampoo & Conditioner Set,2,21.63,10.0,38.93,5.99,Standard,1.13,46.05,PayPal,Shipped,,,True
91163138,590618,2025-11-01,Home & Kitchen,Air Fryer,1,177.82,0.0,177.82,0.0,Standard,11.11,188.93,Debit Card,Delivered,6.0,,False
10637495,304794,2024-06-28,Clothing,Wool Sweater,1,101.54,0.0,101.54,0.0,Express,4.06,105.6,Credit Card,Delivered,4.0,3.0,False
24246798,896180,2024-12-09,Clothing,Running Shoes,5,32.13,10.0,144.59,0.0,Express,12.83,157.42,Credit Card,Delivered,1.0,,False
68283313,823563,2025-09-26,Sports & Outdoors,Camping Tent,2,236.08,10.0,424.94,0.0,Express,17.0,441.94,Debit Card,Delivered,1.0,,False
43857296,504017,2024-09-07,Grocery,Vitamin Supplements,1,26.84,0.0,26.84,12.99,Express,1.27,41.1,Credit Card,Delivered,6.0,,False
21248566,622930,2025-10-01,Home & Kitchen,Coffee Maker,2,125.87,10.0,226.57,0.0,Express,13.59,240.16,Debit Card,Delivered,3.0,,False
32925630,985037,2024-05-14,Grocery,Green Tea (Box),1,20.25,0.0,20.25,5.99,Standard,1.27,27.51,Debit Card,Delivered,7.0,,False
55190854,723573,2025-09-18,Home & Kitchen,Bed Sheets Set,5,229.36,25.0,860.1,0.0,Standard,70.96,931.06,Credit Card,Cancelled,,,False
55115980,919601,2025-03-03,Beauty,Face Serum,1,75.9,0.0,75.9,0.0,Standard,6.74,82.64,PayPal,Delivered,5.0,,False
